data,temperatura,unidades_vendidas
2025-06-01,21.23,106
2025-06-02,38.69,198
2025-06-03,33.75,174
2025-06-04,30.47,151
2025-06-05,18.45,101
2025-06-06,18.37,87
2025-06-07,12.63,54
2025-06-08,39.92,208
2025-06-09,39.92,197
2025-06-10,11.53,47
2025-06-11,34.64,178
2025-06-12,25.41,126
2025-06-13,23.08,113
2025-06-14,11.69,54
2025-06-15,36.98,181
2025-06-16,14.37,73
2025-06-17,38.63,199
2025-06-18,18.46,85
2025-06-19,37.95,193
2025-06-20,39.33,197
2025-06-21,12.59,68
2025-06-22,37.42,189
2025-06-23,10.24,51
2025-06-24,28.02,138
2025-06-25,23.01,115
2025-06-26,34.67,166
2025-06-27,38.29,181
2025-06-28,30.27,160
2025-06-29,13.34,74
2025-06-30,29.88,147
2025-07-01,16.51,75
2025-07-02,35.02,181
2025-07-03,33.44,161
2025-07-04,33.71,175
2025-07-05,29.96,150
2025-07-06,10.08,47
2025-07-07,27.73,136
2025-07-08,14.57,69
2025-07-09,11.87,50
2025-07-10,33.57,173
2025-07-11,13.59,68
2025-07-12,14.33,80
2025-07-13,25.43,120
2025-07-14,24.62,112
2025-07-15,25.57,118
2025-07-16,10.93,59
2025-07-17,17.92,95
2025-07-18,26.49,126
2025-07-19,32.94,162
2025-07-20,24.98,122
2025-07-21,34.44,165
2025-07-22,33.64,167
2025-07-23,10.87,55
2025-07-24,18.57,101
2025-07-25,37.81,187
2025-07-26,33.20,165
2025-07-27,12.67,69
2025-07-28,29.11,143
2025-07-29,24.73,123
2025-07-30,11.83,55
2025-07-31,29.66,145
2025-08-01,17.48,90
2025-08-02,11.76,66
2025-08-03,30.21,148
2025-08-04,21.49,114
2025-08-05,37.99,190
2025-08-06,15.13,73
2025-08-07,14.30,71
2025-08-08,11.00,57
2025-08-09,13.13,59
2025-08-10,36.47,182
2025-08-11,22.95,113
2025-08-12,27.56,130
2025-08-13,13.13,70
2025-08-14,31.60,160
2025-08-15,14.64,67
2025-08-16,33.82,173
2025-08-17,24.12,117
2025-08-18,29.01,138
2025-08-19,12.55,63
2025-08-20,13.40,63
2025-08-21,31.83,157
2025-08-22,26.04,130
2025-08-23,15.64,79
2025-08-24,38.92,190
2025-08-25,29.61,145
2025-08-26,22.79,109
2025-08-27,19.52,99
2025-08-28,36.74,180
2025-08-29,28.19,139
2025-08-30,11.39,62
2025-08-31,10.72,53
2025-09-01,28.36,143
2025-09-02,21.23,106
2025-09-03,36.83,187
2025-09-04,30.91,152
2025-09-05,34.76,174
2025-09-06,25.58,124
2025-09-07,18.33,96
2025-09-08,31.61,162
2025-09-09,38.78,195
2025-09-10,28.12,139
